usuario_id,idade,renda_mensal,estado,data_cadastro,score_credito,tem_cartao,tem_conta_corrente
1,30,4840.38,RN,2024-04-13,701,False,True
2,59,12910.94,PR,2024-06-08,340,True,True
3,41,8104.98,SC,2024-04-23,647,True,True
4,36,2581.82,RJ,2024-02-02,716,False,True
5,26,20530.99,AM,2024-10-13,711,False,False
6,26,1438.48,AP,2024-02-07,785,False,True
7,21,6127.6,PE,2024-11-22,669,False,True
8,50,2544.55,SP,2024-10-15,647,True,True
9,36,1495.51,SC,2024-12-25,679,True,True
10,40,1983.57,MG,2024-01-28,807,True,True
11,19,4724.93,PR,2024-10-14,532,True,True
12,61,6501.46,CE,2024-05-16,693,True,True
13,46,11466.05,SP,2024-07-07,565,True,True
14,27,16007.77,SP,2024-05-25,706,False,False
15,26,6137.36,ES,2024-01-16,529,True,True
16,26,3447.64,SP,2024-08-18,659,False,True
17,29,11284.82,BA,2024-02-06,450,True,True
18,34,3005.76,RJ,2024-06-29,729,False,True
19,32,1371.29,AM,2024-12-10,658,True,True
20,28,10417.15,AL,2024-06-09,586,True,True
21,36,14173.5,PA,2024-10-03,805,True,True
22,25,2546.69,SP,2024-02-27,699,False,False
23,28,23591.9,MA,2024-05-18,586,False,True
24,30,7835.67,SP,2024-08-02,725,True,True
25,32,6954.68,RO,2024-07-31,582,True,False
26,43,3250.78,MG,2024-10-21,664,True,True
27,26,11090.35,AP,2024-04-23,669,True,True
28,33,1451.71,SP,2024-12-17,834,True,True
29,35,3744.97,CE,2024-10-22,582,False,True
30,21,2733.86,MA,2024-12-16,775,True,True
31,36,1724.78,CE,2024-08-24,568,True,True
32,26,9802.47,CE,2024-01-29,767,True,True
33,22,6456.94,PE,2024-07-30,616,True,False
34,59,9355.81,MA,2024-04-05,902,False,True
35,61,3933.8,DF,2024-07-06,558,True,True
36,44,10808.24,PR,2024-12-17,636,False,True
37,29,5227.63,RJ,2024-10-03,729,True,True
38,24,3368.7,RN,2024-05-02,476,False,True
39,39,2948.02,SP,2024-03-06,661,False,True
40,32,1005.94,SP,2024-11-16,650,True,True
41,25,12475.19,PB,2024-08-19,836,True,True
42,33,11392.66,MG,2024-11-20,494,True,True
43,20,50000.0,RJ,2024-11-29,583,True,True
44,55,3760.49,PB,2024-03-01,562,True,True
45,28,2882.94,RO,2024-01-10,587,True,True
46,38,1259.98,SP,2024-08-18,628,False,True
47,29,10593.26,RS,2024-07-23,680,False,True
48,33,8811.92,SP,2024-10-16,838,True,True
49,34,17007.74,AL,2024-01-08,696,False,True
50,26,2360.64,SP,2024-06-19,752,False,True
51,61,8717.54,RS,2024-02-02,581,True,True
52,43,3236.89,AM,2024-03-20,657,False,True
53,58,14399.85,BA,2024-08-05,523,True,True
54,53,7547.5,MT,2024-09-06,503,True,False
55,36,1415.79,SP,2024-08-20,950,True,True
56,56,4425.07,SP,2024-03-15,569,True,True
57,23,1034.33,MG,2024-09-24,724,True,True
58,26,1937.93,CE,2024-01-22,703,False,True
59,20,2034.0,SP,2024-06-15,632,True,True
60,29,2943.18,SP,2024-03-27,566,True,True
61,31,3983.24,MA,2024-05-09,547,False,True
62,28,5606.41,MG,2024-02-21,614,False,True
63,46,5386.42,GO,2024-11-01,756,True,True
64,30,4821.85,PE,2024-11-07,472,True,True
65,28,6411.88,SP,2024-12-15,582,True,True
66,34,1808.34,BA,2024-12-24,604,False,True
67,25,5211.08,SP,2024-01-20,513,True,True
68,44,15484.07,SP,2024-05-30,574,True,True
69,22,4304.25,RS,2024-04-23,649,True,False
70,63,7300.79,MT,2024-07-16,896,False,True
71,43,6777.07,TO,2024-04-22,587,True,False
72,26,9796.84,PR,2024-09-27,688,True,True
73,18,6183.94,AM,2024-03-09,743,False,True
74,45,9665.25,PA,2024-12-16,583,True,True
75,40,7374.87,PR,2024-11-22,550,True,True
76,41,8315.1,SP,2024-11-06,706,True,True
77,43,7000.26,MG,2024-10-13,610,True,True
78,22,2196.39,RS,2024-09-09,707,True,True
79,30,1926.36,PR,2024-10-28,681,True,False
80,25,3704.92,PE,2024-02-13,593,True,True
81,50,17005.85,PE,2024-06-02,592,True,True
82,37,4284.15,BA,2024-11-14,571,False,True
83,29,6295.86,RJ,2024-05-03,561,True,True
84,22,1018.57,MG,2024-08-18,405,True,True
85,29,5738.73,RS,2024-02-05,547,True,True
86,29,5264.42,PE,2024-12-22,890,True,True
87,41,1000.0,SP,2024-12-13,521,True,True
88,37,6202.52,RJ,2024-10-17,501,True,True
89,52,1311.88,RJ,2024-12-04,462,True,False
90,32,2751.0,SC,2024-06-06,747,True,True
91,25,10889.75,PB,2024-08-06,460,True,True
92,40,5574.52,SE,2024-09-02,782,True,True
93,42,3433.17,ES,2024-05-19,730,True,True
94,34,3205.87,ES,2024-02-02,751,True,True
95,43,3517.85,RJ,2024-09-12,834,True,True
96,33,5589.87,AM,2024-10-14,675,True,True
97,33,1880.86,SP,2024-12-27,716,True,True
98,31,12082.75,BA,2024-11-10,697,False,True
99,19,1962.45,SP,2024-02-12,713,True,True
100,25,1234.42,BA,2024-01-15,600,True,True
101,20,10860.88,SP,2024-07-13,541,True,True
102,37,3464.98,PE,2024-04-24,752,True,True
103,29,5199.76,SP,2024-06-26,441,True,True
104,33,8297.46,SP,2024-12-12,749,False,True
105,54,2764.04,PB,2024-07-04,548,False,True
106,28,5484.69,MG,2024-09-01,404,True,True
107,31,8254.98,AC,2024-06-15,638,True,True
108,42,18298.75,SP,2024-09-07,532,False,True
109,27,3265.45,SC,2024-04-29,732,True,True
110,23,3393.59,PA,2024-02-06,738,True,True
111,28,7712.99,RS,2024-08-23,645,True,True
112,26,5807.32,MG,2024-08-10,673,True,True
113,57,4404.45,TO,2024-03-22,862,False,True
114,44,17573.58,RS,2024-01-02,690,False,True
115,37,1279.28,CE,2024-12-13,640,True,True
116,51,1575.93,PA,2024-05-18,771,True,True
117,44,1291.16,SP,2024-04-18,573,False,True
118,26,12853.15,BA,2024-03-09,549,True,True
119,53,7418.84,DF,2024-09-23,891,False,True
120,34,1641.56,RS,2024-10-19,401,True,False
121,44,4454.07,PE,2024-09-11,777,False,True
122,53,4807.15,MT,2024-06-14,591,False,True
123,29,1000.0,MG,2024-07-19,701,True,True
124,25,5713.7,MG,2024-01-03,639,True,True
125,27,1915.94,SP,2024-05-22,546,False,True
126,31,8650.18,AP,2024-02-26,538,True,True
127,45,1963.43,SP,2024-10-25,644,True,True
128,49,5856.62,PR,2024-08-22,656,True,True
129,18,13844.68,SC,2024-11-30,543,True,False
130,33,10717.66,SP,2024-07-13,581,False,False
131,31,7374.12,PR,2024-05-15,709,True,True
132,27,4605.15,MG,2024-11-04,605,True,True
133,25,1480.18,MT,2024-07-24,540,True,True
134,29,3458.96,AL,2024-09-28,423,True,True
135,58,4101.86,RS,2024-12-03,441,True,True
136,29,3872.84,RS,2024-10-23,606,True,True
137,33,1441.13,SP,2024-06-17,624,True,True
138,40,6957.31,MG,2024-07-01,683,False,True
139,30,1910.78,RS,2024-07-08,689,True,True
140,61,16930.76,PR,2024-12-13,744,True,True
141,60,5532.62,PR,2024-01-01,583,False,False
142,28,10758.06,SP,2024-06-02,691,True,True
143,33,10581.63,SP,2024-04-30,702,False,True
144,29,25908.99,RS,2024-12-07,446,True,True
145,28,5684.54,MG,2024-01-11,377,True,True
146,20,3597.34,SP,2024-09-08,451,False,True
147,36,3653.25,PE,2024-02-05,524,True,True
148,33,16266.81,SP,2024-09-12,701,False,True
149,21,1709.25,SP,2024-06-19,660,True,True
150,28,2434.51,GO,2024-03-27,721,True,False
151,55,5940.77,SP,2024-08-09,608,True,False
152,27,4349.26,SP,2024-05-20,657,False,True
153,25,10658.53,SP,2024-10-12,445,False,True
154,33,1684.2,PA,2024-01-16,617,True,True
155,63,4658.47,SP,2024-12-27,607,True,True
156,27,4231.83,SE,2024-02-09,506,False,True
157,39,2084.33,RN,2024-10-25,634,False,True
158,42,9926.15,SE,2024-01-19,575,True,True
159,27,4566.82,BA,2024-07-20,614,False,True
